	original_question	original_answer	translated_question	translated_answer	percent_replaced	spanish_vocab	category

1751	Quien se escondía de the FBI?	"Jaime Bulger ""Whitey"" y Catherine Greig"	Who was hiding from the FBI?	"James ""Whitey"" Bulger and  Catherine Greig"	100.0	['greig', 'bulger', 'jaime', 'y', 'whitey', 'catherine']	2

1752	What did she dream?	That she tripped and got hurt	What did she dream?	That she tripped and got hurt	0.0	[]	0

1753	For a follower del Muestra, era like Estar en el first row of what?	a moda espectáculo	For a follower of the show, it was like being in the first row of what?	a fashion show	66.67	['moda', 'espectáculo']	1

1754	Alguien hizo tener puesto black?	Sarah Jessica Parker	Did anyone wear black?	Sarah Jessica Parker	100.0	['jessica', 'parker', 'sarah']	2

1755	What did Saud fall escaso de doing?	gaining greater independence for women	What did Saud fall short of doing?	gaining greater independence for women	0.0	[]	0

1756	Qué hizo Fabrice Olinga do?	scrambled un tiro	What did Fabrice Olinga do?	scrambled a shot	66.67	['tiro', 'un']	1

1757	Cuando ¿Toma la paliza? place?	el Noche de septiembre 5	When did the beating take place?	the night of September 5	80.0	['noche', 'de', 'el', 'septiembre']	2

1758	De acuerdo a to who?	a senior defense official	According to who?	a senior defense official	25.0	['a']	0

1759	was hay nieve en el ground?	Yes, it estaba nevando heavily en el city.	was there snow on the ground?	Yes, it was snowing heavily in the city.	50.0	['estaba', 'en', 'nevando', 'el']	1

1760	por qué eran Ellos ardiendo ¿él?	carbón quemado para combustible.	why were they burning it?	burned coal for fuel.	100.0	['para', 'combustible', 'carbón', 'quemado']	2

1761	where do some of them go to do so?	seeking work experience instead of advanced degrees	where do some of them go to do so?	seeking  work experience instead of advanced degrees	0.0	[]	0

1762	Which city es taking afuera the escuchando part?	Shandong es en vista de	Which city is taking out the listening part?	Shandong is considering	66.67	['es', 'en', 'vista', 'de']	1

1763	Donde estaba ella then?	en el conductor seat de car	Where was she then?	in the driver's seat of a car	71.43	['en', 'de', 'el', 'conductor']	2

1764	How long was he there before el altercation?	half an hour	How long was he there before the altercation?	half an hour	0.0	[]	0

1765	What is el ¿mensaje?	Música can be a excelente power to change la vida de las personas.	What is the message?	Music can be a great power to change people's lives.	40.0	['música', 'excelente', 'la', 'las', 'personas', 'vida', 'de']	1

1766	Que eran ¿discurso?	Dora, Grace y Nellie,	Who were speaking?	Dora, Grace and Nellie,	100.0	['y', 'dora', 'nellie', 'grace']	2

1767	Que hizo Suhas Gopinath try try to do?	ganar millions of dollars	What did Suhas Gopinath try try to do?	earn millions of dollars	25.0	['ganar']	0

1768	What ella hizo ella hacer cuando ella was bored?	Syal often habló con sus vecinos	What did she do when she was bored?	Syal often talked with her neighbors	66.67	['habló', 'con', 'sus', 'vecinos']	1

1769	con respecto a que ¿asunto?	Apertura de un golf curso	regarding what issue?	Opening of a golf course	100.0	['apertura', 'golf', 'un', 'de', 'curso']	2

1770	what was the ? he asked ?	Poder you get out now	what was the ? he asked ?	Can you get out now	20.0	['poder']	0

1771	how does Ella siente about the ¿resolución?	she lo acogió	how does she feel about the resolution?	she welcomed it	66.67	['acogió', 'lo']	1

1772	who es era pidió pisar down from su ¿posición?	a Funcionario rumano	who is was asked to step down from his position?	a Romanian official	100.0	['funcionario', 'a', 'rumano']	2

1773	How does Leeson sleep?	his orejas wide open	How does Leeson sleep?	his ears wide open	25.0	['orejas']	0

1774	who was one de los tutores?	Duhan Delaware Jandun,	who was one of the tutors?	Duhan de Jandun,	66.67	['jandun', 'delaware']	1

1775	de qué ¿periodo de tiempo?	de el Décimo milenio ANTES DE CRISTO	from what time frame?	from the 10th millennium BC	100.0	['antes', 'de', 'el', 'cristo', 'décimo', 'milenio']	2

1776	What did Constantine become in 305?	"rank de ""Augustus"""	What did Constantine become in 305?	"rank of ""Augustus"""	33.33	['de']	0

1777	That tiene ¿qué?	that has puesto Volver veinte veces si it’s been volver once.	That has what?	that has been put back twenty times if it’s been put back once.	61.54	['si', 'puesto', 'veces', 'veinte', 'volver']	1

1778	Qué ¿Eso implicó?	Lance sabía quien Jim era	What did that imply?	Lance knew who Jim was	80.0	['era', 'jim', 'sabía', 'quien']	2

1779	What court hecho un finding about the ESA?	The U.S. Supreme Court	What court made a finding about the ESA?	The U.S. Supreme Court	0.0	[]	0

1780	Spitsbergen es más grande que which islands?	Nordaustlandet y Edgeøya	Spitsbergen is bigger than which islands?	Nordaustlandet and Edgeøya	66.67	['y', 'nordaustlandet']	1

1781	¿Quién llamó a su hermana?	Su propia madre	Who named his sister?	His own mother	100.0	['su', 'propia', 'madre']	2

1782	Dónde did Mike sit?	en a little table	Where did Mike sit?	at a little table	25.0	['en']	0

1783	Que era él to do ¿próximo?	contratar a bote	What was he to do next?	hire a boat	66.67	['bote', 'contratar']	1

1784	Cuando lo hizo get su teléfono?	5 meses atrás.	When did he get his phone?	5 months ago.	100.0	['meses', '5', 'atrás']	2

1785	what type of número is 500	a natural one	what type of number is 500	a natural one	33.33	['natural']	0

1786	como los revolucionarios feel acerca de Charle's wife?	Ellos odian her	how do the revolutionaries feel about Charle's wife?	they hate her	66.67	['ellos', 'odian']	1

1787	qué were alentan a las personas para usar?	transporte público o conducir bicicletas	what were they encouraging people to use?	public transportation or ride bicycles	100.0	['bicicletas', 'transporte', 'público', 'o', 'conducir']	2

1788	Por que it happen?	He no looking where he was going	Why'd it happen?	He wasn't looking where he was going	14.29	['no']	0

1789	Where ¿Fue él?	lo suyo quiet manse	Where was he?	his own quiet manse	50.0	['suyo', 'lo']	1

1790	¿Qué estaba haciendo? ¿Cuándo lo vio?	Conseguir un paseo hogar de la escuela	What was she doing when she saw it?	getting a ride home from school	100.0	['la', 'paseo', 'escuela', 'conseguir', 'un', 'hogar', 'de']	2

1791	How long did it take them to find ¿uno?	almost an hour	How long did it take them to find one?	almost an hour	0.0	[]	0

1792	How era una tortuga hurt?	A conductor hit it.	How was a turtle hurt?	A driver hit it.	50.0	['a', 'conductor']	1

1793	¿Dónde estaba viviendo alquiler? ¿gratis?	el Casa pequeña;	Where was she living rent free?	the Small House;	100.0	['casa', 'el', 'pequeña']	2

1794	What es Reagan known for?	for his vivid etchings of politicians, celebrities and athletes.	What is Reagan known for?	for his vivid etchings of politicians, celebrities and athletes.	0.0	[]	0

1795	Que was telefonizado?	su amigo Manuel	Who was telephoned?	their friend Manuel	66.67	['su', 'amigo']	1

1796	Qué el período señaló el end del ¿Estado de pueblo pesquero pequeño?	in 1853–54, when Commodore Matthew Perry llegó justo al sur de Yokohama con a Flota de American warships	What peroid signaled the end of the small fishing village status?	in 1853–54, when Commodore Matthew Perry arrived just south of Yokohama with a fleet of American warships	70.59	['perry', 'llegó', 'american', 'al', 'yokohama', 'con', 'a', 'matthew', 'justo', 'sur', 'flota', 'de']	2

1797	How were his shooting skills that day?	He was missing easy shots.	How were his shooting skills that day?	He was missing easy shots.	0.0	[]	0

1798	Que era wrong?	he nació nine semanas premature	What was wrong?	he was born nine weeks premature	50.0	['nació', 'semanas']	1

1799	Qué hizo Tocadiscos preguntar acerca de Macklín perteneciente ¿a?	La vieja pandilla	What did Potts ask about Macklin belonging to?	The old gang	100.0	['la', 'vieja', 'pandilla']	2

1800	Que otro punishment is no more?	the death pena,	What other punishment is no more?	the death penalty,	33.33	['pena']	0

1801	How does Ella se siente por her enemies?	ella could forgive todo	How does she feel about her enemies?	she could forgive all	50.0	['ella', 'todo']	1

1802	qué hizo ellos reagruparse como later?	un movimiento de insurgencia	what did they regroup as later?	an insurgency movement	100.0	['movimiento', 'un', 'de', 'insurgencia']	2

1803	Who won in the competencia between Tommy Haas y Stan Wawrinka?	Tommy Haas CL	Who won in the competition between Tommy Haas and Stan Wawrinka?	Tommy Haas cl	33.33	['cl']	0

1804	What acerca de Webcomics?	en the 21 century.	What about webcomics?	in the 21st century.	50.0	['en', '21']	1

1805	Qué oficios tiene ¿Sostuvo?	alcalde, a parlamento líder, y un gobernador	What offices has he held?	mayor, a parliament leader, and a governor	100.0	['gobernador', 'a', 'parlamento', 'un', 'y', 'alcalde', 'líder']	2

1806	When did él end?	the end de the eighteenth century	When did it end?	the end of the eighteenth century	16.67	['de']	0

1807	Que son they?	Mary Astell y dama Mary Wortley Montagu	Who are they?	Mary Astell and Lady Mary Wortley Montagu	57.14	['y', 'astell', 'montagu', 'dama']	1

1808	Qué son las mujeres haciendo en el ¿alojamiento?	idling o trabajar en tapices	What are the women doing in the roQue?	idling or working at tapestries	80.0	['en', 'tapices', 'trabajar', 'o']	2

1809	What is this article ¿acerca de?	ancient ball juegos	What is this article about?	ancient ball games	33.33	['juegos']	0

1810	what did ¿Ella protesta?	su accepting Deane's oferta	what did she protest?	their accepting Deane's offer	50.0	['su', 'oferta']	1

1811	Cuantas personas de the country no ¿Vivir allí?	Aproximadamente 10 millones	How many people from the country don't live there?	Approximately 10 million	100.0	['millones', '10', 'aproximadamente']	2

1812	why was it ditched?	simbólico of a larger issue	why was it ditched?	symbolic of a larger issue	20.0	['simbólico']	0

1813	What's su favorito thing hacer there?	Conducir his bote	What's his favourite thing to do there?	Ride his boat	66.67	['bote', 'conducir']	1

1814	Dónde es él cuando es to par por el ¿escaleras?	Llegando a través de la fuente Corte	Where is he when he's to peer down the stairs?	Coming through Fountain Court	100.0	['través', 'llegando', 'la', 'a', 'corte', 'fuente', 'de']	2

1815	Who eran it's main clients?	customers in Porcelana y neighboring regions	Who were it's main clients?	customers in China and neighboring regions	33.33	['y', 'porcelana']	0

1816	Quien comenzó it?	John Chaveta Billings.	Who started it?	John Shaw Billings.	66.67	['chaveta', 'billings']	1

1817	Qué hizo ellos piensan ellos ¿escuchó?	el sound de disparo	What did they think they heard?	the sound of firing	75.0	['el', 'de', 'disparo']	2

1818	where are the young gentlemen?	at Lord Wrotham's casa	where are the young gentlemen?	at Lord Wrotham's house	25.0	['casa']	0

1819	Cómo does él describir the artist?	un alegre bird	How does he describe the artist?	a light-hearted bird	66.67	['alegre', 'un']	1

1820	Quien es Guss con la esperanza de see?	Jack de Barón,	Who is Guss hoping to see?	Jack De Baron,	100.0	['barón', 'jack', 'de']	2

1821	What does he do?	marketing business máquinas	What does he do?	marketing business machines	33.33	['máquinas']	0

1822	What es the title del capítulo?	EL SMITING OF Amon	What is the title of the chapter?	THE SMITING OF AMON	50.0	['amon', 'el']	1

1823	what lo hizo perder interés en?	mano de obra y capital a	what did he lose interest in?	labor and capital a	100.0	['obra', 'capital', 'a', 'mano', 'de', 'y']	2

1824	how many kits vivientes were distributed?	more than 90,000	how many living kits were distributed?	more than 90,000	0.0	[]	0

1825	Que era James's mother doing when he la encontró?	waiting para él	What was James's mother doing when he found her?	waiting for him	66.67	['para', 'él']	1

1826	¿Cuáles fueron los usos originales? de radio?	glow-in-the-dark pinturas para reloj y aviones dials	What were the original uses of radium?	glow-in-the-dark paints for clock and aircraft dials	85.71	['para', 'aviones', 'pinturas', 'dials', 'reloj', 'y']	2

1827	Qué did Eastman bankroll?	two historically negro colleges	What did Eastman bankroll?	two historically black colleges	25.0	['negro']	0

1828	what happened en 1868	Él officially became the capital	what happened in 1868	It officially became the capital	40.0	['capital', 'él']	1

1829	por qué Era ella ¿tarde?	ella estaba limpiando el ciencia tables	why was she late?	she was cleaning the science tables	83.33	['estaba', 'ella', 'ciencia', 'limpiando', 'el']	2

1830	Who eran married	a man y a woman	Who were married	a man and a woman	20.0	['y']	0

1831	And what meses son autumn?	March, April y Puede	And what months are autumn?	March, April and May	50.0	['y', 'puede']	1

1832	Y to ¿Es el sur?	Maharashtra es al sur	And to its South?	Maharashtra is to the south	100.0	['es', 'sur', 'maharashtra', 'al']	2

1833	what did he study y explore?	The secrets in la comida business	what did he study and explore?	The secrets in the food business	33.33	['la', 'comida']	0

1834	What age grupo of obese la gente tenía the salud más cara costs?	20 a 56,	What age group of obese people had the most expensive health costs?	20 to 56,	66.67	['a', '20']	1

1835	Qué hacer ellos hacen ¿cada día?	ellos quería agua y weed el jardín cada día	What do they do every day?	they would water and weed the garden every day	88.89	['día', 'ellos', 'agua', 'el', 'y', 'cada', 'jardín', 'quería']	2

1836	What was his second famous series?	"""Next Excelente Baker"""	What was his second famous series?	"""Next Great Baker"""	33.33	['excelente']	0

1837	who's fence ¿Fue?	su tía Polly's	who's fence was it?	his Aunt Polly's	66.67	['tía', 'su']	1

1838	Where era ella supposed a trepar ¿a?	a certain punto en el enorme viejo sauce	Where was she supposed to climb to?	a certain point in the huge old willow tree	88.89	['punto', 'sauce', 'a', 'viejo', 'el', 'enorme', 'en']	2

1839	Qué is an example of that?	Cost savings due to No telephone network.	What is an example of that?	Cost savings due to no telephone network.	14.29	['no']	0

1840	Qué es el point of el article?	Should Children Ser permitido Get Bored	What is the point of the article?	Should Children Be Allowed to Get Bored	42.86	['permitido', 'ser']	1

1841	Entonces ¿Cómo llegaría a Hillcrest?	llevar el escenario	Then how would he get to Hillcrest?	take the stage	100.0	['escenario', 'llevar', 'el']	2

1842	What did they say they would rather do than shop?	watch TV y eat potato chips	What did they say they would rather do than shop?	watch TV and eat potato chips	16.67	['y']	0

1843	Que comida era in it?	té y dry toast	What food was in it?	tea and dry toast	50.0	['y', 'té']	1

1844	Que es yendo allá a gratis ¿a él?	Estado departamento enviado	Who is going there to free him?	State department envoy	100.0	['enviado', 'estado', 'departamento']	2

1845	Dónde was she looking for her daughter?	In a casa	Where was she looking for her daughter?	In a house	33.33	['casa']	0

1846	Quien perplejo Jesus Ibarra?	the anciano hombre	Who puzzled Jesus Ibarra?	the elderly man	66.67	['anciano', 'hombre']	1

1847	Que Wasan Enviar?	Kambula y su compañeros	Who wasan envoy?	Kambula and his companions	100.0	['y', 'su', 'compañeros', 'kambula']	2

1848	When did she stop working for the USPTO?	June 6, 2017	When did she stop working for the USPTO?	June 6, 2017	0.0	[]	0

1849	Qué is pointed a punto de the ghost?	Él no barefooted	What is pointed out about the ghost?	He wasn't barefooted	66.67	['él', 'no']	1

1850	Dónde era el earliest Homo sapiens encontrado?	central África oriental	Where was the earliest Homo sapiens found?	central Eastern Africa	100.0	['áfrica', 'central', 'oriental']	2

1851	Qué was Like convinced of?	news could not have penetrated	What was Like convinced of?	news could not have penetrated	0.0	[]	0

1852	Qué es the nombre of el organization eso found him?	The Simon Centro de Wiesenthal	What is the name of the organization that found him?	The Simon Wiesenthal Center	50.0	['centro', 'de', 'wiesenthal']	1

1853	Qué tiempo hace Fei entra?	a las tres en punto en la tarde	What time does Fei get in?	at three o'clock in the afternoon	100.0	['punto', 'tarde', 'la', 'las', 'a', 'tres', 'en']	2

1854	Dónde does she walk?	around a castillo	Where does she walk?	around a castle	33.33	['castillo']	0

1855	What es uno other trigger for un attack?	certain caer alergias	What is one other trigger for an attack?	certain fall allergies	66.67	['caer', 'alergias']	1

1856	What grande fósforo tiene ¿ganado?	el australiano Abierto	What big match has he won?	the Australian Open	100.0	['australiano', 'abierto', 'el']	2

1857	so what did she decidir a do?	she ran over exprimido out	so what did she decide to do?	she ran over squeezed out	20.0	['exprimido']	0

1858	What tenía él descubierto previously?	the game of hide y buscar Pie liviano había estado jugando	What had he discovered previously?	the game of hide and seek Lightfoot had been playing	60.0	['estado', 'había', 'pie', 'liviano', 'jugando', 'buscar', 'y']	1

1859	¿Por qué Él hace este ¿mucho?	El era perezoso	Why would he do this so much?	he was lazy	100.0	['era', 'perezoso', 'el']	2

1860	What was he compared to?	a savage animal	What was he compared to?	a savage animal	0.0	[]	0

1861	And más tarde ¿dónde?	United Naciones General Assembly.	And later where?	United Nations General Assembly.	50.0	['general', 'naciones']	1

1862	Cuando él dar up?	el a mitad de Enero	When did he give up?	the middle of January	100.0	['mitad', 'a', 'enero', 'de', 'el']	2

1863	What era given to the stranger?	the ends of the rope	What was given to the stranger?	the ends of the rope	0.0	[]	0

1864	what are some temas importantes en ¿Hinduismo?	four Puruṣārthas, los objetivos o objetivos adecuados de vida humana, a saber Dharma (ethics/duties), Artha (prosperity/work), Kama (desires/passions) and Moksha (	what are some important themes in Hinduism?	four Puruṣārthas, the proper goals or aims of human life, namely Dharma (ethics/duties), Artha (prosperity/work), Kama (desires/passions) and Moksha (	60.0	['humana', 'objetivos', 'a', 'los', 'saber', 'moksha', 'vida', 'kama', 'o', 'de', 'adecuados', 'puruṣārthas']	1

1865	Que está corriendo contra him?	Alison Lilergan Grimes	Who is running against him?	Alison Lundergan Grimes	100.0	['alison', 'grimes', 'lilergan']	2

1866	Did the jurado hear everything?	No, the jury was prevenido from escuchar todo the evidence	Did the jury hear everything?	No, the jury was prevented from hearing all the evidence	30.0	['escuchar', 'todo', 'prevenido']	0

1867	Que hizo he save?	a de dos años chica	who did he save?	a two-year-old girl	66.67	['dos', 'años', 'de', 'chica']	1

1868	Why hizo él cabeza a Australia?	see Si ellos tenía a teléfono similar	Why did he head to Australia?	see if they had a similar phone	85.71	['si', 'teléfono', 'similar', 'tenía', 'a', 'ellos']	2

1869	Why didn't he go with her?	because she was afraid of the thieves	Why didn't he go with her?	because she was afraid of the thieves	0.0	[]	0

1870	Por qué era Dan sweating?	él escuchó footsteps approaching	Why was Dan sweating?	he heard footsteps approaching	50.0	['él', 'escuchó']	1

1871	Que hizo ¿Él encuentra?	su abuelo asesino	What did he find?	his grandfather's killer	100.0	['abuelo', 'su', 'asesino']	2

1872	What are the problems?	accusations of biased coverage	What are the problems?	accusations of biased coverage	0.0	[]	0

1873	Who observado después him while he era there?	Coach Jack Donohue,	Who watched after him while he was there?	Coach Jack Donohue,	66.67	['donohue', 'jack']	1

1874	Quien hizo esto el oficial name?	International Organización para la estandarización	Who made this the official name?	International Organization for Standardization	75.0	['para', 'organización', 'la', 'estandarización']	2

1875	Que was walking together?	Porra and Jake	Who was walking together?	Billy and Jake	33.33	['porra']	0

1876	Spanning de que ages??	Early a Middle Bronce Edad	Spanning from what ages??	Early to Middle Bronze Age	60.0	['bronce', 'a', 'edad']	1

1877	Cuáles son los nombres de las nuevas empresas?	21st Siglo Zorro y un nuevo News Cuerpo	What are the names of the new companies?	21st Century Fox and a new News Corp	75.0	['nuevo', 'cuerpo', 'un', 'y', 'siglo', 'zorro']	2

1878	What is eso a result of?	warm climate and high primary productivity	What is that a result of?	warm climate and high primary productivity	0.0	[]	0

1879	Por qué has it estado a bruto year?	surgery lo hizo perder confidence	Why has it been a rough year?	surgery made him lose confidence	60.0	['lo', 'perder', 'hizo']	1

1880	Qué ¿Park se convirtió en el primero Jugador asiático to do?	anotar tres sucesivo World Tazas	What did Park become the first Asian player to do?	score at three successive World Cups	83.33	['tres', 'tazas', 'anotar', 'sucesivo']	2

1881	Who was going to be on trial?	an Iraqi periodista	Who was going to be on trial?	an Iraqi journalist	33.33	['periodista']	0

1882	Cual did these ¿incluir?	the iPod Shuffle, el iPod nano y el iPod Touch.	Which did these include?	the iPod Shuffle, the iPod Nano and the  iPod Touch.	60.0	['y', 'nano', 'ipod', 'el']	1

1883	Dónde podría ¿Él va?	en una celda	Where might he go?	in a cell	100.0	['en', 'una', 'celda']	2

1884	does John say anything else for the rest de the ¿fiesta?	John doesn't say anything any longer at el party.	does John say anything else for the rest of the party?	John doesn't say anything any longer at the party.	11.11	['el']	0

1885	Why was él conocido por another name?	Chingaiz era un girl	Why was he known by another name?	Chingaiz was a girl	50.0	['era', 'un']	1

1886	Cómo lo hizo intentar ¿este?	Al disparar sí mismo en el pecho	How did he attempt this?	By shooting himself in the chest	100.0	['en', 'al', 'pecho', 'disparar', 'el', 'sí', 'mismo']	2

1887	What made MLS más profitable?	owners built soccer-specific stadiums	What made MLS more profitable?	owners built soccer-specific stadiums	0.0	[]	0

1888	Qué es it then?	ancient indio religiones	What is it then?	ancient Indian religions	66.67	['religiones', 'indio']	1

1889	Qué era establecido en detmold?	un preescolar centro	What was established in Detmold?	a preschool center	100.0	['centro', 'preescolar', 'un']	2

1890	It is ranked the top university in ¿qué?	the biomédico field	It is ranked the top university in what?	the biomedical field	33.33	['biomédico']	0

1891	What did the obtener de la escuela para the absence?	a aviso de advertencia	What did the get from the school for the absence?	a warning notice	66.67	['aviso', 'advertencia', 'de']	1

1892	Que ¿Es él?	Representante en el ébola.	Who is he?	Representative on Ebola.	100.0	['ébola', 'en', 'el', 'representante']	2

1893	What was his name?	Kim Jong Gap	What was his name?	Kim Jong Gap	0.0	[]	0

1894	Who found eso masa asesinato had taken ¿lugar?	el criminal internacional Tribunal para el Former Yugoslavia	Who found that mass murder had taken place?	the International Criminal Tribunal for the Former Yugoslavia	62.5	['para', 'internacional', 'criminal', 'el']	1

1895	Qué eran municipios en Inglaterra derecho a?	A elect miembros de parlamento	What were boroughs in England entitled to?	To elect members of parliament	80.0	['parlamento', 'a', 'miembros', 'de']	2

1896	What did she do after hearing el voices?	Ella joined them.	What did she do after hearing the voices?	She joined them.	33.33	['ella']	0

1897	Como fue he intentar to aprobar the time?	Al dyke.	How did he try to pass the time?	At the dyke.	66.67	['al']	1

1898	what amable de personas son más felices?	Gente with el la mayoría de las conexiones sociales	what kind of people are happiest?	People with the most social connections	83.33	['mayoría', 'la', 'las', 'de', 'conexiones', 'el', 'gente', 'sociales']	2

1899	What did she do?	told Robin how exciting fue to fly	What did she do?	told Robin how exciting it was to fly	25.0	['fue']	0

1900	what demás did ella piensa about?	siendo un little girl	what else did she think about?	being a little girl	50.0	['siendo', 'un']	1

1901	Cual Región estadounidense es él ¿en?	el Sur Central	Which US region is it in?	the South Central	100.0	['sur', 'central', 'el']	2

1902	and what does eso form?	an impuro substance	and what does that form?	an impure substance	33.33	['impuro']	0

1903	Quien mide el use of languages por el Americano populace?	Americano Community Encuesta	Who measures the use of languages by the American populace?	American Community Survey	66.67	['americano', 'encuesta']	1

1904	Qué los países están en la montaña ¿rango?	the border de Nepal y Tíbet, Porcelana	What countries are on the mountain range?	the border of Nepal and Tibet, China	71.43	['tíbet', 'porcelana', 'de', 'y', 'nepal']	2

1905	What happens when tú make the stars of the flag bigger?	the Australian flag poder look impressive	What happens when you make the stars of the flag bigger?	the Australian flag can look impressive	16.67	['poder']	0

1906	what did los príncipes ¿Quejarse de?	eso there was no victoria para their Troops	what did the princes complain about?	that there was no victual for their Troops	37.5	['para', 'victoria', 'eso']	1

1907	Making es que clasificación el England?	el Décimo mayor población	Making it what ranking in the England?	the 10th-largest population	100.0	['décimo', 'población', 'el', 'mayor']	2

1908	He is the first man to do what?	win gold in the same event at three consecutive Olympics	He is the first man to do what?	win gold in the same event at three consecutive Olympics	0.0	[]	0

1909	Who went on the viaje hacia ¿océano?	mi mom, mi papá, mi hermana, my dog, y me.	Who went on the trip to the ocean?	my mom, my dad, my sister, my dog, and me.	60.0	['y', 'hermana', 'papá', 'mi']	1

1910	¿Qué quería?	To Evite una tarea	What he wanted?	To avoid a task	75.0	['tarea', 'una', 'evite']	2

1911	How long he stayed there?	hasta nineteen eighty-five	How long he stayed there?	until nineteen eighty-five	33.33	['hasta']	0

1912	what does he wantt el consejo a do?	el bid to ser aceptado	what does he wantt he council to do?	the bid to be accepted	60.0	['aceptado', 'ser', 'el']	1

1913	¿Qué dos idiomas están distantes? relatives?	Estonian está relacionado a húngaro y sami languages.	Which two language are distant relatives?	Estonian is related to Hungarian and Sami languages.	75.0	['relacionado', 'sami', 'a', 'está', 'húngaro', 'y']	2

1914	por qué was he despondent?	no chance of marrying her	why was he despondent?	no chance of marrying her	0.0	[]	0

1915	What type of teacher es he considerado como?	El model maestro.	What type of teacher is he regarded as?	The model teacher.	66.67	['el', 'maestro']	1

1916	Por qué no ¿ella?	ella lo había visto bajar	Why wouldn't she?	she had seen him go down	100.0	['había', 'visto', 'bajar', 'ella', 'lo']	2

1917	What did they do after the moon landing?	"sold ""Lunar Cheesecake """	What did they do after the moon landing?	"sold ""Lunar Cheesecake """	0.0	[]	0

1918	What does he look como en comparison a otro jugadores?	un estudiante de cuarto grado among high escuela students	What does he look like in comparison to other players?	a fourth-grader among high school students	50.0	['cuarto', 'grado', 'escuela', 'un', 'de', 'estudiante']	1

1919	What era el góndola colgando ¿encima?	una congelación arroyo	What was the gondola hanging over?	a freezing creek	100.0	['arroyo', 'una', 'congelación']	2

1920	What did the media also say he did?	He tenía a .40-caliber handgun mientras in an elevator with the President	What did the media also say he did?	He had a .40-caliber handgun while in an elevator with the President	25.0	['tenía', 'a', 'mientras']	0

1921	Hizo he tener children?	he tiene No children	Did he have children?	he has no children	50.0	['tiene', 'no']	1

1922	Que memoria hizo Gildersleeve aún ¿tener?	That de su excelente marcha mala	What memory did Gildersleeve still have?	That of his great wrong-doing	80.0	['su', 'excelente', 'marcha', 'de', 'mala']	2

1923	What event condujo a her tomando responsibility for the child?	his parents died in el terror attacks on a Jewish cultural center	What event led to her taking responsibility for the child?	his parents died in the terror attacks on a Jewish cultural center	8.33	['el']	0

1924	How were ¿Buques privados se reutilizan?	as artesanía naval	How were private vessels reused?	as naval craft	66.67	['naval', 'artesanía']	1

1925	Qué tipo de atleta, ¿verdad?	Él gustos fútbol americano	What kind of athlete is he?	He likes football	100.0	['americano', 'él', 'fútbol', 'gustos']	2

1926	who owns it?	Penske Media Corporación	who owns it?	Penske Media Corporation	33.33	['corporación']	0

1927	Cómo están they used?	in ambos terrestre applications y astronomía	How are they used?	in both terrestrial applications and astronomy	66.67	['y', 'ambos', 'terrestre', 'astronomía']	1

1928	qué were ellos para hacer si ellos ¿No perdonó?	ellos eran a no hacer nada	what were they to do if they didn't forgive?	they were to do nothing	100.0	['hacer', 'no', 'nada', 'eran', 'a', 'ellos']	2

1929	what did she beg of her aunt?	to believe her	what did she beg of her aunt?	to believe her	0.0	[]	0

1930	Que did he tener hire a ¿bote?	His fiel asistente.	Who did he have hire a boat?	His trusty attendant.	66.67	['fiel', 'asistente']	1

1931	Qué dominar la mayoría de son áreas agrícolas?	por industrial granjas	What dominates most of it's agricultural areas?	by industrial farms	100.0	['industrial', 'por', 'granjas']	2

1932	Qué was Timmy doing?	Él had estado watching TV all day	What was Timmy doing?	He had been watching TV all day	28.57	['estado', 'él']	0

1933	who ¿Comparte? borders with?	Irak and Saudí Arabia	who does it share borders with?	Iraq and Saudi Arabia	50.0	['irak', 'saudí']	1

1934	Qué Otros apodos eran dado más tarde ¿en?	Capital petrolero de el World	What other nicknames were given to it later on?	Oil Capital of the World	80.0	['capital', 'petrolero', 'el', 'de']	2

1935	What happened in 1942?	Ellos eran awarded the George Cross	What happened in 1942?	they were awarded the George Cross	33.33	['ellos', 'eran']	0

1936	What ¿Stan Sotavento call ¿a él?	"""genuine talent and a caballero genuino """	What did Stan Lee call him?	"""genuine talent and a genuine gentleman"""	50.0	['caballero', 'genuino', 'a']	1

1937	what hace ¿Esto lo hace?	da a ellos resiliencia	what does this do?	gives them resilience	100.0	['ellos', 'da', 'resiliencia', 'a']	2

1938	y what song did ellos write?	My Forma is My Decision	and what song did they write?	My Way is My Decision	20.0	['forma']	0

1939	A donde fue off to?	the dirección de maíz hill	Where did he go off to?	the direction of Corn hill	60.0	['maíz', 'dirección', 'de']	1

1940	Where es este año?	en Anclaje (Alaska)	Where is it this year?	in Anchorage (Alaska)	100.0	['en', 'alaska', 'anclaje']	2

1941	Where was Harry?	En Mr Kennedy's parlour.	Where was Harry?	In Mr Kennedy's parlour.	25.0	['en']	0

1942	What did su madre tell a él do?	Do not ir afuera	What did his mother tell him to do?	Do not go out	50.0	['ir', 'afuera']	1

